key,time,distance
9,1033,89
7,567,105
+,1148,175
8,1435,118
4,516,69
=,500,150
9,767,153
1,517,140
-,1000,153
5,1016,131
1,367,54
=,533,115
2,1117,91
5,300,51
-,984,163
1,816,178
9,419,157
=,415,145
9,768,134
0,616,169
+,699,154
7,1183,184
9,600,115
=,367,157
2,1216,86
5,250,56
/,501,104
7,1451,144
8,216,51
=,616,148
3,933,66
0,333,105
*,601,179
8,935,107
6,597,60
=,320,93
9,914,132
5,402,66
*,598,101
8,517,102
1,717,101
=,385,105
4,1016,130
2,366,66
-,1116,119
1,700,147
5,367,64
=,484,95
