try,time,mouseMoveDistace,miss
1,489.0,390.42,0
2,431.0,386.09,0
3,480.0,422.04,0
4,419.0,448.14,0
5,509.0,451.25,0
6,420.0,414.28,0
7,610.0,397.25,0
8,461.0,407.53,0
9,470.0,400.78,0
10,460.0,451.31,0
11,461.0,420.52,0
12,518.0,403.57,0
13,470.0,422.29,0
