try,time,mouseMoveDistace,miss
1,790.0,640.64,0
2,840.0,643.47,0
3,619.0,658.19,0
4,922.0,662.46,0
5,739.0,653.3,0
6,750.0,638.13,0
7,960.0,660.08,0
8,860.0,656.59,0
9,911.0,629.99,0
10,771.0,631.01,0
11,679.0,641.27,0
12,768.0,646.54,0
13,600.0,656.2,0
