try,time,mouseMoveDistace,miss
1,569.0,637.17,0
2,599.0,590.88,0
3,479.0,651.57,0
4,541.0,662.74,0
5,448.0,623.42,0
6,592.0,613.5,0
7,478.0,641.0,0
8,561.0,678.86,0
9,531.0,630.21,0
10,528.0,590.16,0
11,528.0,603.3,0
12,561.0,609.12,0
13,639.0,668.65,0
