start,0,0
1,1161,328
9,601,274
/,865,101
9,567,109
4,582,213
=,568,283
6,917,202
5,565,78
/,501,211
5,599,209
4,484,109
=,634,275
9,1000,308
6,467,119
-,733,198
1,966,306
8,534,210
=,651,297
3,1366,92
0,716,212
+,1250,306
4,767,321
1,333,102
=,517,219
8,1252,313
9,482,86
-,933,343
5,834,303
1,366,143
=,651,205
9,949,301
4,816,233
*,785,303
5,682,210
6,367,110
=,685,195
4,882,280
6,617,203
+,549,148
5,700,204
2,519,94
=,399,117
7,1250,347
5,465,147
/,534,219
4,885,296
6,665,185
=,767,177
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
