buttonsize,80
buttondistance,90
START,240,120
7,50,190
8,140,190
9,230,190
/,320,190
4,50,280
5,140,280
6,230,280
*,320,280
1,50,370
2,140,370
3,230,370
+,320,370
0,50,460
C,140,460
=,230,460
-,320,460
