start,0,0
4,1131,232
7,302,110
/,1182,252
5,552,207
4,314,64
=,484,233
7,950,296
0,517,270
*,866,302
4,652,254
0,398,154
=,585,141
7,933,288
5,332,110
/,584,202
7,733,278
2,483,219
=,483,83
8,969,265
6,582,130
*,501,107
6,1432,81
5,384,96
=,366,184
8,967,265
1,534,164
*,1083,256
5,583,160
=,1167,193
1,1452,174
9,583,220
+,850,182
6,499,117
2,700,124
=,367,116
6,800,162
6,166,0
+,1583,133
1,801,274
5,451,120
=,498,195
7,1200,301
6,453,181
/,480,154
6,1151,158
2,351,99
=,335,125
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
null
